,0
863,DUSP1
864,ERGIC1
865,RPL26L1
866,ATP6V0E1
867,CREBRF
868,HRH2
869,HIGD2A
870,CLTB
871,RNF44
872,HK3
873,NSD1
874,PRELID1
875,LMAN2
876,RGS14
877,GRK6
878,DOK3
879,HNRNPAB
880,PHYKPL
881,HNRNPH1
882,CANX
883,SQSTM1
884,RNF130
885,MGAT1
886,DUSP22
887,SERPINB1
888,SERPINB9
889,SERPINB6
890,NQO2
891,PSMG4
892,PRPF4B
893,LY86
894,SSR1
895,TMEM14C
896,TMEM14B
897,JARID2
898,TPMT
899,DEK
900,RNF144B
901,SOX4
902,C6orf62
903,FAM65B
904,TRIM38
905,BTN3A2
906,ABT1
907,ZSCAN16-AS1
908,TRIM27
909,HLA-A
910,ZNRD1
911,PPP1R11
912,HLA-E
913,PPP1R18
914,TUBB
915,FLOT1
916,HLA-C
917,LTB
918,LST1
919,AIF1
920,BAG6
921,CSNK2B
922,DDAH2
923,CLIC1
924,LSM2
925,RNF5
926,GPSM3
927,HLA-DRA
928,HLA-DQA1
929,HLA-DQB1
930,HLA-DQB2
931,PSMB8
932,PSMB8-AS1
933,PSMB9
934,HLA-DMB
935,HLA-DMA
936,BRD2
937,HLA-DPA1
938,HLA-DPB1
939,RPS18
940,TAPBP
941,CUTA
942,UQCC2
943,C6orf1
944,NUDT3
945,RPS10
946,SNRPC
947,TAF11
948,FKBP5
949,MAPK14
950,STK38
951,SRSF3
952,MTCH1
953,FGD2
954,PIM1
955,CCDC167
956,CCND3
957,UBR2
958,TBCC
959,CNPY3
960,MEA1
961,KLHDC3
962,MRPL2
963,YIPF3
964,MRPL14
965,CDC5L
966,FBXO9
967,ELOVL5
968,PTP4A1
969,PHF3
970,SMAP1
971,OGFRL1
972,EEF1A1
973,COX7A2
974,TMEM30A
975,SENP6
976,PHIP
977,CYB5R4
978,SNX14
979,SYNCRIP
980,ZNF292
981,AKIRIN2
982,PNRC1
983,UBE2J1
984,LYRM2
985,ATG5
986,AIM1
987,SEC63
988,OSTM1
989,SNX3
990,MICAL1
991,CDC40
992,AMD1
993,GTF3C6
994,FYN
995,MARCKS
996,FAM26F
997,RWDD1
998,SERINC1
999,ECHDC1
1000,STX7
1001,VNN2
1002,RPS12
1003,TBPL1
1004,BCLAF1
1005,IFNGR1
1006,HEBP2
1007,CCDC28A
1008,ABRACL
1009,HECA
1010,CITED2
1011,SF3B5
1012,STX11
1013,UTRN
1014,RAB32
1015,GINM1
1016,PCMT1
1017,GTF2H5
1018,DYNLT1
1019,EZR
1020,TAGAP
1021,SOD2
1022,MRPL18
1023,QKI
1024,SFT2D1
1025,MPC1
1026,PSMB1
1027,PDCD2
1028,COX19
1029,C7orf50
1030,PSMG3
1031,MAD1L1
1032,LFNG
1033,WIPI2
1034,ACTB
1035,EIF2AK1
1036,RAC1
1037,KDELR2
1038,C1GALT1
1039,RPA3
1040,NDUFA4
1041,PHF14
1042,ARL4A
1043,MALSU1
1044,CYCS
1045,HNRNPA2B1
1046,CBX3
1047,SNX10
1048,SKAP2
1049,HOTAIRM1
1050,TAX1BP1
1051,CREB5
1052,CPVL
1053,NT5C3A
1054,SEPT7
1055,AOAH
1056,STARD3NL
1057,MPLKIP
1058,MRPL32
1059,STK17A
1060,BLVRA
1061,PPIA
1062,H2AFV
1063,MYO1G
1064,CCM2
1065,UPP1
1066,IKZF1
1067,SEC61G
1068,VOPP1
1069,CCT6A
1070,CHCHD2
1071,GUSB
1072,TMEM248
1073,BAZ1B
1074,BCL7B
1075,WBSCR22
1076,EIF4H
1077,LAT2
1078,GTF2I
1079,NCF1
1080,HSPB1
1081,YWHAG
1082,FGL2
1083,PTPN12
1084,RSBN1L
1085,TMEM60
1086,CD36
1087,TP53TG1
1088,SRI
1089,SAMD9
1090,SAMD9L
1091,SHFM1
1092,BRI3
1093,ARPC1A
1094,ARPC1B
1095,PDAP1
1096,BUD31
1097,ATP5J2
1098,ZNF655
1099,LAMTOR4
1100,PILRA
1101,TSC22D4
1102,LRCH4
1103,GNB2
1104,POP7
1105,SLC12A9
1106,TRIM56
1107,AP1S1
1108,ZNHIT1
1109,FIS1
1110,CUX1
1111,POLR2J
1112,ARMC10
1113,DNAJC2
1114,KMT2E
1115,SRPK2
1116,NAMPT
1117,HBP1
1118,BCAP29
1119,DLD
1120,PNPLA8
1121,GPR85
1122,LINC00998
1123,TES
1124,CAPZA2
1125,LSM8
1126,NDUFA5
1127,ZNF800
1128,ARF5
1129,SND1
1130,IMPDH1
1131,CHCHD3
1132,CNOT4
1133,C7orf73
1134,MTPN
1135,ZC3HAV1
1136,HIPK2
1137,TBXAS1
1138,MKRN1
1139,NDUFB2
1140,SSBP1
1141,TRBC1
1142,GSTK1
1143,ZYX
1144,PDIA4
1145,ZNF467
1146,GIMAP7
1147,GIMAP4
1148,GIMAP6
1149,GIMAP2
1150,GIMAP1
1151,TMEM176B
1152,TMEM176A
1153,FASTK
1154,TMUB1
1155,RHEB
1156,PRKAG2
1157,KMT2C
1158,INSIG1
1159,DNAJB6
1160,SLC25A6
1161,CD99
1162,MSL3
1163,TMSB4X
1164,RAB9A
1165,OFD1
1166,AP1S2
1167,SYAP1
1168,RBBP7
1169,SH3KBP1
1170,EIF1AX
1171,RPS6KA3
1172,SMS
1173,PRDX4
1174,ACOT9
1175,SAT1
1176,EIF2S3
1177,CYBB
1178,ATP6AP2
1179,CXorf38
1180,DDX3X
1181,NDUFB11
1182,UBA1
1183,TIMP1
1184,CFP
1185,UXT
1186,EBP
1187,RBM3
1188,WDR13
1189,WAS
1190,TIMM17B
1191,WDR45
1192,PLP2
1193,SMC1A
1194,HSD17B10
1195,UBQLN2
1196,LINC01420
1197,MSN
1198,IGBP1
1199,IL2RG
1200,NONO
1201,OGT
1202,NHSL2
1203,PIN4
1204,RPS4X
1205,ATRX
1206,COX7B
1207,PGK1
1208,CYSLTR1
1209,SH3BGRL
1210,BTK
1211,BEX4
1212,TCEAL8
1213,MORF4L2
1214,TSC22D3
1215,ACSL4
1216,ALG13
1217,DOCK11
1218,IL13RA1
1219,SLC25A5
1220,UBE2A
1221,SEPT6
1222,RPL39
1223,NDUFA1
1224,NKAP
1225,LAMP2
1226,MCTS1
1227,XIAP
1228,SASH3
1229,RAP2C
1230,HPRT1
1231,ARHGEF6
1232,IDS
1233,VMA21
1234,FAM58A
1235,BCAP31
1236,IDH3G
1237,SSR4
1238,ARHGAP4
1239,NAA10
1240,RENBP
1241,MECP2
1242,FLNA
1243,EMD
1244,ATP6AP1
1245,FAM50A
1246,G6PD
1247,MPP1
1248,FUNDC2
1249,VAMP7
1250,ERICH1
1251,FDFT1
1252,CTSB
1253,PCM1
1254,ASAH1
1255,INTS10
1256,ATP6V1B2
1257,DOK2
1258,REEP4
1259,PDLIM2
1260,SLC25A37
1261,DOCK5
1262,PPP2R2A
1263,BNIP3L
1264,DPYSL2
1265,PTK2B
1266,CLU
1267,CCDC25
1268,DCTN6
1269,GTF2E2
1270,PROSC
1271,RAB11FIP1
1272,EIF4EBP1
1273,LSM1
1274,WHSC1L1
1275,TACC1
1276,PLEKHA2
1277,GOLGA7
1278,HOOK3
1279,CEBPD
1280,PRKDC
1281,RB1CC1
1282,LYPLA1
1283,LYN
1284,CHCHD7
1285,SDCBP
1286,RAB2A
1287,COPS5
1288,ARFGEF1
1289,TRAM1
1290,RPL7
1291,TCEB1
1292,TMEM70
1293,LY96
1294,PEX2
1295,PAG1
1296,FABP5
1297,ZFAND1
1298,C8orf59
1299,CPNE3
1300,NBN
1301,DECR1
1302,PLEKHF2
1303,UQCRB
1304,PTDSS1
1305,MTDH
1306,RPL30
1307,COX6C
1308,POLR2K
1309,PABPC1
1310,YWHAZ
1311,ZNF706
1312,KLF10
1313,AZIN1
1314,ATP6V1C1
1315,OXR1
1316,EIF3E
1317,ENY2
1318,EIF3H
1319,RAD21
1320,DERL1
1321,FAM91A1
1322,TATDN1
1323,NDUFB9
1324,MTSS1
1325,FAM49B
1326,ASAP1
1327,EFR3A
1328,PHF20L1
1329,SLA
1330,LY6E
1331,GSDMD
1332,NAPRT
1333,EEF1D
1334,PLEC
1335,GRINA
1336,GPAA1
1337,SHARPIN
1338,MAF1
1339,VPS28
1340,RPL8
1341,COMMD5
1342,DOCK8
1343,SMARCA2
1344,JAK2
1345,PSIP1
1346,RRAGA
1347,PLIN2
1348,RPS6
1349,C9orf72
1350,TOPORS-AS1
1351,NDUFB6
1352,DNAJA1
1353,B4GALT1
1354,BAG1
1355,CHMP5
1356,UBE2R2
1357,RPP25L
1358,DCTN3
1359,VCP
1360,SIT1
1361,CCDC107
1362,TLN1
1363,HINT2
1364,GLIPR2
1365,CLTA
1366,GRHPR
1367,SMC5
1368,ZFAND5
1369,ANXA1
1370,OSTF1
1371,RFK
1372,GNAQ
1373,TLE4
1374,UBQLN1
1375,HNRNPK
1376,AGTPBP1
1377,ZCCHC6
1378,CTSL
1379,CKS2
1380,SECISBP2
1381,SEMA4D
1382,SYK
1383,FGD3
1384,NINJ1
1385,FAM120A
1386,FBP1
1387,ANP32B
1388,NANS
1389,SEC61B
1390,ERP44
1391,RAD23B
1392,KLF4
1393,TXN
1394,UGCG
1395,PTBP3
1396,SLC31A2
1397,FKBP15
1398,CDC26
1399,AKNA
1400,ATP6V1G1
1401,TLR4
1402,MEGF9
1403,PSMD5-AS1
1404,CNTRL
1405,RAB14
1406,GSN
1407,STOM
1408,PSMB7
1409,RPL35
1410,ARPC5L
1411,PPP6C
1412,HSPA5
1413,RPL12
1414,TOR2A
1415,DPM2
1416,C9orf16
1417,URM1
1418,SET
1419,ZDHHC12
1420,NTMT1
1421,FNBP1
1422,NUP214
1423,SETX
1424,SURF1
1425,SURF2
1426,SURF4
1427,SLC2A6
1428,RXRA
1429,FCN1
1430,UBAC1
1431,AGPAT2
1432,TMEM141
1433,PHPT1
1434,EDF1
1435,FBXW5
1436,PTGDS
1437,C9orf142
1438,CLIC3
1439,SSNA1
1440,TMEM203
1441,TUBB4B
1442,MRPL41
1443,ARRDC1
1444,PSMD13
1445,IFITM2
1446,IFITM1
1447,IFITM3
1448,SIGIRR
1449,RNH1
1450,IRF7
1451,TALDO1
1452,RPLP2
1453,PNPLA2
1454,CD151
1455,POLR2L
1456,CHID1
1457,TOLLIP
1458,MOB2
1459,CTSD
1460,LSP1
1461,MRPL23
1462,ASCL2
1463,C11orf21
1464,CD81
1465,TSSC4
1466,CDKN1C
1467,RHOG
1468,TRIM22
1469,ILK
1470,TAF10
1471,TPP1
1472,EIF3F
1473,RPL27A
1474,RNF141
1475,CTR9
1476,EIF4G2
1477,FAR1
1478,COPB1
1479,PSMA1
1480,NUCB2
1481,LDHA
1482,TSG101
1483,HTATIP2
1484,SVIP
1485,EIF3M
1486,HIPK3
1487,LMO2
1488,CAPRIN1
1489,CD44
1490,TRIM44
1491,COMMD9
1492,TTC17
1493,DGKZ
1494,ARHGAP1
1495,ARFGAP2
1496,SPI1
1497,CELF1
1498,NDUFS3
1499,PTPMT1
1500,MTCH2
1501,FNBP4
1502,PTPRJ
1503,TIMM10
1504,UBE2L6
1505,TMX2
1506,C11orf31
1507,FAM111A
1508,MPEG1
1509,MS4A6A
1510,MS4A4A
1511,MS4A7
1512,TMEM109
1513,DDB1
1514,CYB561A3
1515,SDHAF2
1516,TMEM258
1517,BEST1
1518,FTH1
1519,AHNAK
1520,B3GAT3
1521,UBXN1
1522,POLR2G
1523,STX5
1524,SLC3A2
1525,RARRES3
1526,PLA2G16
1527,RTN3
1528,COX8A
1529,STIP1
1530,FERMT3
1531,NUDT22
1532,DNAJC4
1533,FKBP2
1534,PPP1R14B
1535,BAD
1536,ESRRA
1537,TRMT112
1538,PRDX5
1539,CCDC88B
1540,RASGRP2
1541,SF1
1542,EHD1
1543,VPS51
1544,FAU
1545,CAPN1
1546,DPF2
1547,MALAT1
1548,SSSCA1
1549,FAM89B
1550,EHBP1L1
1551,SIPA1
1552,MAP3K11
1553,RNASEH2C
1554,CFL1
1555,CTSW
1556,FIBP
1557,CCDC85B
1558,DRAP1
1559,BANF1
1560,RAB1B
1561,BRMS1
1562,MRPL11
1563,ZDHHC24
1564,CCS
1565,ADRBK1
1566,ANKRD13D
1567,POLD4
1568,PPP1CA
1569,TBC1D10C
1570,RPS6KB2
1571,CORO1B
1572,TMEM134
1573,AIP
1574,CDK2AP2
1575,GSTP1
1576,TCIRG1
1577,LAMTOR1
1578,ANAPC15
1579,FOLR3
1580,ARAP1
1581,ATG16L2
1582,RAB6A
1583,COA4
1584,UCP2
1585,KCNE3
1586,SPCS2
1587,ARRB1
1588,RPS3
1589,ACER3
1590,PAK1
1591,RSF1
1592,PRCP
1593,PCF11
1594,CCDC90B
1595,TMEM126A
1596,PICALM
1597,C11orf73
1598,CTSC
1599,SLC36A4
1600,SMCO4
1601,TAF1D
1602,ANKRD49
1603,CWC15
1604,SRSF8
1605,BIRC3
1606,BIRC2
1607,CASP4
1608,CASP1
1609,CARD16
1610,CUL5
1611,FDX1
1612,TIMM8B
1613,SDHD
1614,PAFAH1B2
1615,PCSK7
1616,IL10RA
1617,CD3E
1618,CD3G
1619,ATP5L
1620,KMT2A
1621,DDX6
1622,RPS25
1623,CBL
1624,SORL1
1625,TBRG1
1626,NRGN
1627,EI24
1628,DCPS
1629,ETS1
1630,FLI1
1631,APLP2
1632,VPS26B
1633,IDI1
1634,KLF6
1635,GDI2
1636,RBM17
1637,ATP5C1
1638,CELF2
1639,UPF2
1640,CDC123
1641,FAM107B
1642,VIM
1643,PLXDC2
1644,DNAJC1
1645,MSRB2
1646,APBB1IP
1647,ABI1
